monotonic_ns_start,monotonic_ns_end,cell_idx,fma_iters,sleep_us,n_dispatches
29985924342125,29990924424541,0,256,0,42070
29990924514500,29995924681833,1,256,50,23364
29995924729791,30000924875208,2,256,200,10401
30000925860833,30005926965333,3,256,1000,2858
30005927077708,30010927247875,4,1024,0,31615
30010927300416,30015927380041,5,1024,50,20196
30015928339666,30020928714083,6,1024,200,9450
30020928760166,30025929923208,7,1024,1000,2781
30025930046333,30030930151708,8,4096,0,16316
30030931076708,30035931242625,9,4096,50,13834
30035931293375,30040931887458,10,4096,200,6947
30040932919750,30045934049833,11,4096,1000,2841
30045934172958,30050934239041,12,16384,0,8756
30050934293541,30055934461458,13,16384,50,6517
30055934509833,30060935398000,14,16384,200,3668
30060936429500,30065938711375,15,16384,1000,2068
30065938779875,30070938819416,16,65536,0,5012
30070939138750,30075940007416,17,65536,50,4751
30075940055333,30080941197416,18,65536,200,2799
30080941256833,30085943450166,19,65536,1000,1113
